"Date","Price","Open","High","Low","Vol.","Change %"
"02/13/2019","7,034.42","7,029.14","7,037.18","7,028.76","","1.30%"
"02/12/2019","6,944.36","6,936.15","6,944.36","6,935.64","","0.12%"
"02/11/2019","6,936.06","6,938.56","6,942.37","6,936.06","","1.25%"
"02/08/2019","6,850.50","6,865.02","6,867.92","6,850.50","","-1.31%"
"02/07/2019","6,941.33","6,959.48","6,959.48","6,939.56","","-1.21%"
"02/06/2019","7,026.31","7,020.65","7,030.33","7,020.35","","0.85%"
"02/05/2019","6,967.26","6,958.29","6,967.26","6,954.70","","1.29%"
"02/04/2019","6,878.81","6,877.77","6,878.81","6,873.31","","0.11%"
"02/01/2019","6,871.17","6,862.08","6,882.66","6,861.32","","0.43%"
"01/31/2019","6,841.88","6,861.40","6,863.20","6,836.66","","1.97%"
"01/30/2019","6,709.37","6,692.06","6,709.81","6,687.14","","0.20%"
"01/29/2019","6,695.78","6,697.57","6,702.56","6,695.63","","-0.16%"
"01/28/2019","6,706.55","6,756.75","6,757.86","6,699.24","","-0.55%"
"01/25/2019","6,743.65","6,721.77","6,743.65","6,720.75","","1.02%"
"01/24/2019","6,675.29","6,689.04","6,689.29","6,668.19","","-0.11%"
"01/23/2019","6,682.80","6,678.20","6,684.95","6,670.59","","-0.93%"
"01/22/2019","6,745.40","6,756.77","6,756.77","6,745.22","","-0.49%"
"01/18/2019","6,778.48","6,734.67","6,778.48","6,733.78","","1.84%"
"01/17/2019","6,656.15","6,648.48","6,656.74","6,647.51","","-0.34%"
"01/16/2019","6,678.61","6,677.10","6,678.67","6,673.17","","1.70%"
"01/15/2019","6,567.10","6,560.66","6,568.16","6,556.79","","0.25%"
"01/14/2019","6,550.57","6,555.20","6,561.05","6,550.57","","-0.65%"
"01/11/2019","6,593.65","6,604.50","6,604.93","6,593.65","","0.51%"
"01/10/2019","6,560.42","6,572.65","6,572.65","6,558.94","","-0.14%"
"01/09/2019","6,569.36","6,574.20","6,576.26","6,562.30","","0.38%"
"01/08/2019","6,544.41","6,522.15","6,544.41","6,522.15","","1.64%"
"01/07/2019","6,438.87","6,432.71","6,438.87","6,422.83","","3.23%"
"01/04/2019","6,237.61","6,207.87","6,237.61","6,202.72","","-0.56%"
"01/03/2019","6,272.55","6,275.71","6,279.93","6,264.02","","0.81%"
"01/02/2019","6,222.30","6,236.46","6,236.92","6,216.24","","-1.98%"
"12/31/2018","6,347.67","6,336.48","6,347.67","6,331.69","","0.51%"
"12/28/2018","6,315.63","6,309.49","6,316.84","6,307.96","","1.97%"
"12/27/2018","6,193.54","6,213.73","6,213.78","6,190.81","","4.22%"
"12/26/2018","5,943.02","5,922.35","5,950.63","5,921.28","","-0.85%"
"12/24/2018","5,993.94","5,999.13","6,012.39","5,990.42","","-3.84%"
"12/21/2018","6,233.05","6,255.69","6,293.58","6,233.05","","-1.35%"
"12/20/2018","6,318.54","6,341.55","6,342.71","6,318.54","","-2.48%"
"12/19/2018","6,479.08","6,485.06","6,489.72","6,479.08","","-0.22%"
"12/18/2018","6,493.14","6,489.41","6,497.32","6,485.52","","-1.17%"
"12/17/2018","6,570.18","6,586.39","6,587.76","6,564.96","","-1.91%"
"12/14/2018","6,698.30","6,706.69","6,711.13","6,698.30","","-1.44%"
"12/13/2018","6,795.91","6,796.80","6,798.95","6,788.92","","0.16%"
"12/12/2018","6,785.16","6,752.05","6,786.02","6,744.03","","0.11%"
"12/11/2018","6,777.66","6,739.78","6,777.66","6,739.78","","2.62%"
"12/10/2018","6,604.63","6,625.29","6,630.90","6,596.96","","-2.96%"
"12/07/2018","6,806.04","6,829.06","6,850.27","6,806.04","","2.13%"
"12/06/2018","6,664.22","6,696.38","6,703.62","6,664.22","","-5.11%"
"12/04/2018","7,023.05","7,024.50","7,030.97","7,021.53","","-0.96%"
"12/03/2018","7,091.20","7,098.41","7,102.02","7,089.29","","2.76%"
"11/30/2018","6,900.70","6,878.34","6,904.60","6,878.34","","0.14%"
"11/29/2018","6,891.26","6,898.43","6,907.74","6,890.87","","2.14%"
"11/28/2018","6,746.79","6,741.45","6,752.52","6,741.45","","1.56%"
"11/27/2018","6,643.44","6,643.63","6,656.41","6,641.37","","0.51%"
"11/26/2018","6,609.65","6,590.42","6,609.67","6,590.42","","1.23%"
"11/23/2018","6,529.33","6,559.52","6,559.52","6,529.33","","-1.21%"
"11/21/2018","6,609.04","6,596.34","6,609.28","6,592.63","","2.04%"
"11/20/2018","6,476.72","6,552.41","6,552.41","6,476.72","","-5.21%"
"11/19/2018","6,832.79","6,851.13","6,852.27","6,829.53","","0.20%"
"11/16/2018","6,819.09","6,821.60","6,832.58","6,806.01","","0.89%"
"11/15/2018","6,758.67","6,779.91","6,783.17","6,750.58","","-1.94%"
"11/14/2018","6,892.22","6,841.06","6,892.22","6,840.87","","0.61%"
"11/13/2018","6,850.53","6,850.66","6,858.03","6,844.16","","-1.93%"
"11/12/2018","6,985.05","6,994.84","6,998.70","6,985.05","","-1.66%"
"11/09/2018","7,103.08","7,115.43","7,118.15","7,103.08","","-0.99%"
"11/08/2018","7,173.89","7,181.57","7,183.51","7,170.43","","1.61%"
"11/07/2018","7,059.96","7,052.94","7,061.17","7,046.43","","1.78%"
"11/06/2018","6,936.29","6,932.52","6,936.29","6,926.85","","-0.20%"
"11/05/2018","6,950.53","6,942.95","6,953.20","6,942.48","","-1.30%"
"11/02/2018","7,041.85","7,052.10","7,054.95","7,021.06","","0.76%"
"11/01/2018","6,989.06","6,995.76","6,997.55","6,978.32","","0.99%"
"10/31/2018","6,920.43","6,889.51","6,920.43","6,889.51","","3.64%"
"10/30/2018","6,677.24","6,731.53","6,731.53","6,656.51","","-3.73%"
"10/29/2018","6,935.82","6,932.63","6,944.42","6,932.63","","1.93%"
"10/26/2018","6,804.55","6,799.12","6,827.61","6,797.34","","-1.27%"
"10/25/2018","6,892.20","6,898.85","6,901.01","6,872.16","","-3.14%"
"10/24/2018","7,115.84","7,128.28","7,128.88","7,115.48","","1.53%"
"10/23/2018","7,008.39","7,033.34","7,036.17","7,003.85","","-1.86%"
"10/22/2018","7,141.15","7,146.05","7,150.67","7,136.59","","-0.65%"
"10/19/2018","7,187.99","7,167.01","7,187.99","7,150.27","","-0.84%"
"10/18/2018","7,249.18","7,257.09","7,263.99","7,249.18","","-0.91%"
"10/17/2018","7,315.84","7,298.41","7,315.84","7,294.42","","2.54%"
"10/16/2018","7,134.85","7,116.01","7,134.85","7,116.01","","-0.04%"
"10/15/2018","7,137.62","7,150.68","7,152.39","7,136.42","","-0.24%"
"10/12/2018","7,154.85","7,110.18","7,154.85","7,110.18","","1.95%"
"10/11/2018","7,018.15","6,974.68","7,028.63","6,972.73","","-4.27%"
"10/10/2018","7,331.28","7,353.19","7,355.07","7,330.85","","-0.19%"
"10/09/2018","7,345.05","7,324.52","7,345.05","7,322.57","","-0.26%"
"10/08/2018","7,364.02","7,391.56","7,391.56","7,364.00","","-1.60%"
"10/05/2018","7,483.70","7,472.52","7,490.65","7,462.54","","-1.66%"
"10/04/2018","7,610.02","7,610.09","7,615.26","7,610.02","","-0.62%"
"10/03/2018","7,657.25","7,652.33","7,658.73","7,651.23","","0.34%"
"10/02/2018","7,631.66","7,636.24","7,638.89","7,631.66","","-0.50%"
"10/01/2018","7,670.18","7,670.24","7,673.65","7,667.67","","0.78%"
"09/28/2018","7,610.62","7,603.77","7,610.62","7,601.53","","0.17%"
"09/27/2018","7,597.55","7,588.47","7,597.55","7,585.79","","0.46%"
"09/26/2018","7,563.08","7,564.42","7,568.61","7,562.95","","0.22%"
"09/25/2018","7,546.25","7,555.64","7,555.64","7,542.86","","0.81%"
"09/24/2018","7,485.62","7,501.76","7,501.76","7,485.07","","-1.39%"
"09/21/2018","7,591.50","7,571.70","7,597.44","7,570.65","","0.82%"
"09/20/2018","7,529.95","7,518.80","7,531.89","7,518.80","","0.46%"
"09/19/2018","7,495.53","7,484.29","7,495.96","7,483.37","","0.77%"
"09/18/2018","7,438.18","7,446.50","7,455.52","7,438.18","","-1.12%"
"09/17/2018","7,522.54","7,528.12","7,528.33","7,521.60","","-0.59%"
"09/14/2018","7,566.83","7,578.90","7,579.51","7,564.58","","0.53%"
"09/13/2018","7,526.60","7,513.64","7,526.60","7,513.10","","0.37%"
"09/12/2018","7,498.64","7,510.35","7,511.40","7,497.82","","1.01%"
"09/11/2018","7,423.31","7,428.85","7,432.53","7,420.66","","-0.48%"
"09/10/2018","7,459.16","7,459.82","7,463.62","7,457.36","","0.64%"
"09/07/2018","7,411.61","7,445.51","7,448.80","7,406.32","","-1.58%"
"09/06/2018","7,530.57","7,538.81","7,539.22","7,529.33","","-1.02%"
"09/05/2018","7,608.48","7,609.86","7,616.50","7,606.44","","-0.41%"
"09/04/2018","7,639.55","7,648.43","7,650.85","7,638.29","","-0.01%"
"08/31/2018","7,640.31","7,644.37","7,645.20","7,638.98","","-0.05%"
"08/30/2018","7,643.97","7,658.36","7,658.89","7,643.97","","0.78%"
