Date,MUFG_Nikkei_Open,MUFG_Nikkei_High,MUFG_Nikkei_Low,MUFG_Nikkei_Close,MUFG_Nikkei_adj_close,MUFG_Nikkei_Volume,Nikkei_Open,Nikkei_High,Nikkei_Low,Nikkei_Close,Nikkei adj close,Nikkei_Volume,NASDAQ_Premarket_Close,NASDAQ_Premarket_Open,NASDAQ_Premarket_High,NASDAQ_Premarket_Low,MUFG_ADR_Open,target
2016-11-17,662.799988,673.299988,655.400024,673.200012,521.737427,204477400,17766.609375,17884.060547,17764.080078,17862.630859,17862.630859,161100000.0,4792.31,4792.51,4795.58,4791.61,6.13,1
2016-11-18,690.0,691.0,657.599976,662.200012,513.212158,204463000,18024.210938,18043.720703,17967.410156,17967.410156,17967.410156,166800000.0,4830.66,4829.61,4835.79,4829.15,6.02,0
2016-11-21,664.5,680.599976,654.299988,678.599976,525.922302,153703700,18038.089844,18129.029297,18007.789063,18106.019531,18106.019531,135700000.0,4818.9,4818.92,4823.47,4818.63,6.08,1
2016-11-22,675.0,682.299988,669.599976,680.700012,527.549805,124482000,18091.050781,18175.630859,18050.550781,18162.939453,18162.939453,121900000.0,4874.11,4867.05,4874.17,4865.92,6.11,1
2016-11-25,671.700012,679.299988,655.099976,661.700012,512.824646,156074100,18387.589844,18482.939453,18288.5,18381.220703,18381.220703,164900000.0,4862.12,4862.75,4864.44,4862.03,5.84,1
2016-11-28,651.700012,675.0,650.599976,671.299988,520.264832,175078200,18302.580078,18374.929688,18222.820313,18356.890625,18356.890625,145000000.0,4861.76,4862.65,4864.46,4860.9,5.96,1
2016-11-29,664.400024,676.799988,662.400024,673.900024,522.279785,124877000,18263.630859,18327.509766,18258.820313,18307.039063,18307.039063,125600000.0,4857.96,4860.57,4862.25,4857.96,6.01,0
2016-11-30,677.0,678.0,665.099976,669.799988,519.102234,118600400,18356.029297,18370.310547,18280.660156,18308.480469,18308.480469,164700000.0,4878.07,4876.78,4882.47,4876.71,5.96,1
2016-12-01,690.0,694.799988,681.900024,687.099976,532.51001,153892800,18535.240234,18746.279297,18469.269531,18513.119141,18513.119141,188000000.0,4808.04,4807.97,4814.72,4807.79,6.02,0
2016-12-02,699.099976,728.599976,695.700012,726.099976,562.735352,297831300,18435.550781,18469.679688,18315.380859,18426.080078,18426.080078,197200000.0,4726.3,4725.75,4730.6,4725.75,6.34,0
2016-12-05,715.0,719.799988,702.400024,708.700012,549.250244,145390900,18349.919922,18365.740234,18227.390625,18274.990234,18274.990234,134500000.0,4755.34,4748.84,4755.34,4748.39,6.3,1
2016-12-06,722.700012,723.0,712.299988,716.200012,555.062744,125026000,18457.199219,18484.800781,18318.990234,18360.539063,18360.539063,158800000.0,4787.44,4787.76,4788.42,4786.39,6.3,1
2016-12-07,723.0,735.0,718.700012,734.400024,569.16803,130498900,18434.539063,18502.470703,18410.880859,18496.689453,18496.689453,151700000.0,4777.13,4785.07,4785.59,4777.13,6.44,1
2016-12-08,740.0,746.099976,736.200012,746.099976,578.235657,127316700,18674.189453,18765.470703,18614.009766,18765.470703,18765.470703,187400000.0,4854.03,4850.56,4854.03,4850.08,6.54,1
2016-12-09,748.0,766.200012,747.700012,762.799988,591.178284,170231900,18839.980469,19042.480469,18821.410156,18996.369141,18996.369141,212300000.0,4884.54,4870.44,4884.54,4870.35,6.66,1
2016-12-12,770.5,773.299988,735.5,752.599976,583.273193,179148300,19183.820313,19280.929688,19054.0,19155.029297,19155.029297,200600000.0,4882.62,4885.63,4887.8,4882.34,6.48,0
2016-12-13,737.599976,752.599976,736.099976,747.700012,579.475708,118334300,19120.759766,19253.509766,19060.720703,19250.519531,19250.519531,147600000.0,4884.56,4879.51,4884.56,4879.22,6.47,0
2016-12-14,750.799988,751.900024,741.5,749.0,580.483093,87201000,19270.009766,19284.279297,19184.75,19253.609375,19253.609375,133200000.0,4936.59,4937.57,4937.64,4935.07,6.45,0
2016-12-15,757.0,767.0,746.900024,755.0,585.133118,130653500,19327.699219,19436.900391,19192.599609,19273.789063,19273.789063,154600000.0,4930.36,4922.6,4930.36,4922.6,6.43,1
2016-12-16,769.0,772.5,762.200012,768.099976,595.285767,134912900,19438.390625,19439.970703,19360.359375,19401.150391,19401.150391,148700000.0,4951.4,4940.03,4951.4,4939.87,6.49,0
2016-12-19,765.0,767.400024,753.099976,759.599976,588.698181,79237600,19345.839844,19399.259766,19307.140625,19391.599609,19391.599609,106000000.0,4917.38,4917.99,4919.55,4917.21,6.44,0
2016-12-20,751.400024,754.0,741.0,749.0,580.483093,92161200,19367.839844,19511.199219,19356.810547,19494.529297,19494.529297,119600000.0,4945.53,4938.96,4948.27,4938.96,6.36,1
2016-12-21,753.0,761.299988,740.0,749.0,580.483093,104696700,19547.279297,19592.900391,19375.189453,19444.490234,19444.490234,130300000.0,4955.25,4954.64,4956.5,4951.88,6.34,0
2016-12-22,742.0,746.400024,726.299988,745.299988,577.61554,110381800,19396.849609,19427.669922,19327.509766,19427.669922,19427.669922,113500000.0,4950.75,4950.24,4954.19,4950.23,6.32,0
2016-12-27,735.099976,746.0,732.200012,738.099976,572.035522,67641200,19353.429688,19478.580078,19352.060547,19403.060547,19403.060547,110200000.0,4946.64,4945.73,4946.99,4945.06,6.3,0
2016-12-28,741.299988,741.400024,732.599976,734.5,569.245483,46427300,19392.109375,19442.130859,19364.730469,19401.720703,19401.720703,77700000.0,4972.97,4970.62,4974.47,4970.62,6.24,0
2016-12-29,726.700012,726.700012,715.599976,718.400024,556.767883,78243900,19301.039063,19301.039063,19092.220703,19145.140625,19145.140625,163500000.0,4921.61,4926.44,4926.95,4921.61,6.12,0
2016-12-30,707.099976,720.799988,705.900024,720.200012,558.162842,72028400,18997.679688,19176.810547,18991.589844,19114.369141,19114.369141,117800000.0,4926.43,4925.66,4926.43,4922.76,6.15,1
2017-01-04,740.0,751.5,736.0,745.200012,577.538147,112945400,19298.679688,19594.160156,19277.929688,19594.160156,19594.160156,163500000.0,4918.14,4915.22,4918.14,4915.22,6.29,1
2017-01-05,750.799988,752.799988,743.599976,748.299988,579.940613,76794300,19602.099609,19615.400391,19473.279297,19520.689453,19520.689453,134500000.0,4939.39,4936.93,4941.73,4936.61,6.41,0
2017-01-06,738.400024,739.700012,735.299988,738.0,571.958008,66675800,19393.550781,19472.369141,19354.439453,19454.330078,19454.330078,119100000.0,4974.46,4967.59,4974.46,4966.98,6.35,1
2017-01-10,733.700012,736.5,726.700012,726.700012,563.200378,72792500,19414.830078,19484.900391,19255.349609,19301.439453,19301.439453,119100000.0,5027.64,5029.57,5029.57,5027.54,6.28,0
2017-01-11,731.700012,738.5,729.799988,737.700012,571.725586,57705500,19358.640625,19402.169922,19325.460938,19364.669922,19364.669922,119100000.0,5035.2,5033.4,5036.89,5033.27,6.32,1
2017-01-12,730.0,735.400024,725.700012,730.400024,566.067932,70120200,19300.189453,19300.189453,19069.019531,19134.699219,19134.699219,119100000.0,5038.01,5042.03,5042.58,5036.12,6.35,0
2017-01-13,726.799988,731.299988,725.299988,729.5,565.370422,57602400,19174.970703,19299.359375,19156.929688,19287.279297,19287.279297,119100000.0,5046.91,5046.39,5047.84,5046.26,6.34,0
2017-01-17,716.0,721.099976,710.0,714.799988,553.977661,79391400,19038.449219,19043.910156,18812.859375,18813.529297,18813.529297,119100000.0,5049.8,5053.71,5054.0,5049.8,6.3,0
2017-01-18,701.0,714.099976,696.0,711.5,551.420227,101854100,18753.960938,18941.240234,18650.330078,18894.369141,18894.369141,119100000.0,5053.54,5045.07,5054.12,5045.04,6.26,1
2017-01-19,723.099976,731.5,719.700012,726.299988,562.890381,82487500,19082.830078,19122.390625,18982.130859,19072.25,19072.25,170600000.0,5061.87,5065.83,5066.97,5061.86,6.29,1
2017-01-20,728.799988,734.799988,724.200012,731.099976,566.610535,63260500,19059.150391,19176.859375,19040.199219,19137.910156,19137.910156,125800000.0,5071.08,5059.66,5071.08,5059.45,6.35,1
